[78, 38, 96, 91, 50, 47, 44, 66, 36, 73, 79, 67, 37, 23, 17, 42]
[78, 38, 97, 91, 50, 47, 44, 66, 36, 73, 79, 67, 37, 23, 17, 42]
[78, 38, 96, 91, 50, 47, 44, 67, 36, 73, 79, 67, 37, 23, 17, 43]
[78, 38, 96, 91, 50, 47, 44, 66, 36, 73, 79, 67, 37, 23, 17, 42]
[78, 38, 96, 91, 51, 47, 44, 66, 36, 73, 79, 67, 37, 23, 17, 42]
[78, 38, 96, 91, 51, 47, 44, 66, 36, 73, 79, 67, 37, 23, 17, 43]
[78, 38, 96, 90, 50, 47, 44, 66, 36, 73, 79, 66, 37, 23, 17, 42]
[78, 38, 96, 91, 50, 47, 44, 66, 36, 73, 79, 67, 37, 23, 18, 42]
[78, 38, 97, 91, 50, 47, 44, 67, 36, 72, 79, 67, 37, 23, 17, 43]
[78, 38, 96, 91, 51, 47, 44, 67, 36, 73, 79, 67, 37, 23, 17, 43]
[78, 38, 96, 91, 50, 47, 44, 66, 36, 73, 79, 67, 37, 23, 17, 43]
[78, 38, 96, 91, 50, 47, 44, 66, 36, 72, 79, 67, 37, 23, 17, 42]
[78, 38, 96, 91, 50, 47, 44, 66, 36, 73, 79, 67, 37, 23, 17, 42]
[78, 38, 96, 91, 50, 47, 44, 66, 36, 73, 79, 67, 37, 23, 17, 42]
[78, 38, 97, 91, 50, 47, 44, 66, 36, 73, 79, 67, 37, 23, 17, 43]
[78, 38, 96, 91, 50, 47, 44, 66, 36, 73, 79, 67, 37, 23, 17, 43]
[78, 38, 96, 90, 51, 47, 44, 66, 36, 73, 79, 67, 37, 23, 17, 42]
[78, 38, 96, 91, 51, 47, 44, 67, 36, 73, 79, 67, 38, 23, 17, 42]
[78, 38, 96, 91, 50, 47, 44, 66, 36, 72, 79, 67, 37, 23, 17, 42]
[78, 38, 96, 91, 50, 47, 44, 67, 36, 73, 79, 67, 37, 23, 17, 42]
[78, 38, 96, 91, 51, 47, 44, 66, 36, 73, 79, 67, 37, 23, 17, 43]
[78, 38, 96, 90, 50, 47, 44, 66, 36, 72, 79, 67, 37, 23, 17, 42]
